計畫名稱,所屬科室,計畫別,目的,就業狀態 (必須),性別限定,年齡,特殊身份別,失業週期,對象條件,只要失業對象,只要失業對象 (文昕理解),怡含建議條件式,放寬對象類別,"放寬對象
失業天數",計畫對象,計畫對象失業週期,
Plan1,諮詢服務及給付科,就保職訓生活津貼,為保障勞工於參加職業訓練期間之基本生活,職訓中,不限,不限,非自願離職者,"不限 (符合特殊身份別)
30 (無特殊身份別)","1.非自願離職者。     
2.定期契約屆滿離職，逾1個月未能就業，且離職前1年內，契
約期間合計滿6個月以上者。",非自願離職者,非自願離職者,"勾選
職訓中
+
非自願離職者
顯示",定期契約屆滿離職,30,非自願離職之職業訓練學員,,
Plan2,諮詢服務及給付科,職訓生活津貼,為保障特定對象失業者於參加全日制職業訓練期間之基本生活,職訓中,不限,"中高齡
高齡","1、就業服務法第24條第1項各款失業者【勾選長期失業者、獨力負擔家計者、身心障礙者、原住民、更生受保護人、家庭暴力被害人、中低收入戶(含低收入戶）、二度就業婦女】
2、性侵害被害人
3、新住民
(只要特殊身份別 != 無)","不限 (符合年齡或特殊身份別)
","1、就業服務法第24條第1項各款失業者
2、新住民
3、性侵害被害人
4、高齡者",中高齡者（45-65）、高齡者【65歲(不含)以上】、身心障礙者、長期失業者、獨力負擔家計者、原住民、低收入戶或中低收入戶中有工作能力者、更生受保護人、家庭暴力及性侵害被害人、二度就業婦女、新住民。,"1. 中高齡者
2. 高齡者
3. 就服法24-1者
4. 新住民
5.性侵害被害人","
勾選
職訓中
+
符合以下之一 
1. 中高齡
2. 高齡
3. 就服法24-1者
4. 新住民
5.性侵害被害人
顯示

※就服法24-1者：中高齡者（45-65）、高齡者【65歲(不含)以上】、長期失業者、獨力負擔家計者、身心障礙者、原住民、更生受保護人、家庭暴力被害人、中低收入戶(含低收入戶）、二度就業婦女。",,,中高齡者（45-65）、高齡者【65歲(不含)以上】、身心障礙者、長期失業者、獨力負擔家計者、原住民、低收入戶或中低收入戶中有工作能力者、更生受保護人、家庭暴力及性侵害被害人、二度就業婦女、新住民之職訓學員,,
Plan3,訓練推廣科,產業人才投資方案,為提升在職勞工知識、技能及態度，爰結合優質訓練單位提供多元化實務導向訓練課程，並補助其訓練費用，以激發在職勞工自主學習，累積個人人力資本，提升國家整體人力資本目標。,在職中,不限,不限,,,"補助對象為年滿15歲以上，具就業保險、勞工保險、勞工職業災害保險或農民健康保險被保險人身分之在職勞工，且符合下列資格之一者：
（一）具本國籍。
（二）與中華民國境內設有戶籍之國民結婚，且獲准居留在臺灣地區工作之外國人、大陸地區人民、香港居民或澳門居民。
（三）符合入出國及移民法第十六條第三項、第四項規定取得居留身分之下列對象之一：
1.泰國、緬甸地區單一中華民國國籍之無戶籍國民。
2.泰國、緬甸、印度或尼泊爾地區無國籍人民，且已依就業服務法第五十一條第一項第一款規定取得工作許可。
（四）跨國（境）人口販運被害人，並取得工作許可。
",,,"勾選
在職中
皆顯示",,,15歲以上在職勞工,,
Plan4,銀髮人才資源中心,壯世代就業促進獎勵實施要點,為活化及開發中高齡及高齡勞動力，促進中高齡者及高齡者重返職場繼續工作，並鼓勵事業單位積極進用，,"待業中
已退休",不限,"中高齡 (55以上)
高齡",退休中高齡 ,90（符合年齡或特殊身份別),"1.年滿55歲以上
2.滿45歲以上依法退休者
（併稱壯世代勞工）
※離開職場連續達三個月以上之壯世代勞工",,,"勾選
待業中or
已退休
+
符合以下之一 
1.失業週期90天(含)以上+中高齡+已退休
2.失業週期90天(含)以上+高齡
顯示

※因現行條件未將中高齡區分45-54及55-64歲，故建議僅以中高齡+已退休或待業高齡或已退休高齡來篩選",,,55歲以上、45歲以上依法退休者,90,
Plan5,諮詢服務及給付科,臨時工作津貼,為協助就業能力薄弱之特定對象或失業者，運用臨時工作津貼，於推介一般性就業機會前提供臨時工作機會，以協助渠等培養工作技能或暫緩解經濟困境，並持續推介一般性就業機會，以早日進入或重返勞動市場。,待業中,不限,"中高齡
高齡","1、非自願離職者、
2、就業服務法第24條第1項各款失業者【勾選長期失業者、獨力負擔家計者、身心障礙者、原住民、更生受保護人、家庭暴力被害人、中低收入戶(含低收入戶）、二度就業婦女】
3、性侵害被害人
4、新住民
(只要特殊身份別 != 無)",不限(符合年齡或特殊身份別及失業之就業保險被保險人),"1.失業之就業保險被保險人。
2.非自願離職者。 
3.就業服務法第24條第1項各款所列之失業者。
4.新住民。","中高齡者（45-65）、高齡者【65歲(不含)以上】、獨力負擔家計者、身心障礙者、原住民、低收入戶或中低收入戶中有工作能力者、長期失業者、二度就業婦女、家庭暴力被害人、更生受保護人、新住民、非自願離職者。 

※經洽詢含性侵害被害人","1. 中高齡者
2. 高齡者
3. 就服法24-1者
4.性侵害被害人
5. 新住民
6. 非自願離職者","勾選
待業中
+
符合以下之一 
1.中高齡
2.高齡
3.就服法24-1者
4.性侵害被害人
5.新住民
6.非自願離職者
顯示

※1.經洽因失業之就業保險被保險人範圍太廣，應回歸由就服員評估推介，故先不顯示；另新增性侵害被害人。
2.未曾就業為從未投保勞工保險或就業保險。",,,失業之就業保險被保險人,,
Plan6,諮詢服務及給付科,天災臨時工作津貼,為提供天然災害造成之災後重建所需人力及受災失業者儘速就業，運用臨時工作津貼，以增加就業機會。,待業中,不限,不限,受災失業者,不限 (符合特殊身份別),"此兩點為受災失業者定義
1.因遭受天然災害，致家園、農作物受損或其家屬死亡或重傷。
2.受僱於災區之事業單位，因受災致停業、歇業、關廠或其他情形。",受災戶,受災戶,"勾選
待業中
+
受災戶
顯示",,,受災戶,,
Plan7,諮詢服務及給付科,求職交通補助金,為減少因距離所致就業困難，積極協助有跨域就業意願之失業勞工儘速重回職場，提供求職交通補助金，增加失業勞工求職意願,待業中,不限,高齡,"1、非自願離職者
2、『年滿18-29歲，未在學而有就業意願且初次尋職之本國籍青年』","不限 (符合年齡或特殊身份別)
90 (無特殊身份別)","1.失業高齡者
2.失業期間連續達3個月以上或非自願離職之就業保險失業被保險人
3.年滿18-29歲，未在學而有就業意願且初次跨域學職之本國籍青年",高齡者【65歲(不含)以上】、非自願離職之就業保險失業被保險人、年滿18-29歲，未在學而有就業意願且初次跨域學職之本國籍青年,"1. 高齡者
2. 非自願離職者
3. 青年AND非學生AND未曾就業","勾選
待業中
+
符合以下之一 
1.高齡
2.青年+未曾就業
3.非自願離職者
4.失業週期90(含)以上失業者
顯示

※年滿18-29歲，未在學而有就業意願且初次尋職之本國籍青年建議
設定條件為：年齡18-29、就業狀況待業中、未曾就業
",,,一般失業者,90,
Plan8,諮詢服務及給付科,青年跨域就業促進補助,為增加初次尋職青年、至外地就業之機會，減少其因距離所致就業障礙，其經公立就業服務機構諮詢及推介就業者，提供搬遷津貼、租屋津貼及異地就業交通津貼等補助措施。,待業中,不限,青年,『年滿18-29歲，未在學而有就業意願且初次尋職之本國籍青年』,不限 (符合年齡加特殊身份別),未在學、有就業意願且初次跨域尋職之本國籍青年,年滿18-29歲，未在學而有就業意願且初次跨域學職之本國籍青年,青年AND非學生AND未曾就業,"勾選
待業中
+
青年+未曾就業
顯示


※年滿18-29歲，未在學而有就業意願且初次尋職之本國籍青年建議
設定條件為：年齡18-29、就業狀況待業中、未曾就業
",,,年滿18-29歲，未在學而有就業意願且初次跨域學職之本國籍青年,,
Plan9,諮詢服務及給付科,跨域就業津貼,為增加失業之勞工、中高齡及高齡者至外地就業之機會，減少其因距離所致就業障礙，其經公立就業服務機構諮詢及推介就業者，提供搬遷津貼、租屋津貼及異地就業交通津貼等補助措施。,"待業中
已退休（限高齡者）",不限,高齡,非自願離職者,"不限 (符合年齡或特殊身份別)
90 (無年齡無特殊身份別，但需扣除未曾就業者)","1.失業高齡者
2.失業期間連續達3個月以上或非自願離職之就業保險失業被保險人",高齡者【65歲(不含)以上】、非自願離職之就業保險失業被保險人,"1. 高齡者
2. 非自願離職者","勾選
待業中or
已退休
+
符合以下之一 
1.高齡
2.非自願離職者
3.失業週期90(含)以上+曾經就業（扣除未曾就業失業者）
顯示

※1.失業期間連續達3個月以上之就業保險失業被保險人符合請領資格。
2.就業保險失業被保險人指曾參加就業保險之勞工(含已退休者)目前無工作者",,,就業保險失業被保險人,90,
Plan10,諮詢服務及給付科,僱用獎助(含失業中高齡者及高齡者僱用獎助),為鼓勵雇主優先僱用弱勢失業勞工，雇主僱用經公立就業服務機構就業諮詢評估需運用僱用獎助措施之弱勢就業者，將依規定給與雇主僱用獎助，以期協助弱勢失業勞工返回勞動市場。,"待業中
已退休",不限,"中高齡
高齡","1.就業服務法第24條第1項各款失業者【勾選長期失業者、獨力負擔家計者、身心障礙者、原住民、更生受保護人、家庭暴力被害人、中低收入戶(含低收入戶）、二度就業婦女】
(只要特殊身份別 != 無)
2、性侵害被害人
3、新住民","30 (符合年齡或特殊身份別)
90 (無年齡及特殊身份別)","1.失業期間連續達30日以上之特定對象
2.失業期間連續達3個月以上之一般失業者。
",中高齡者（45-65）、高齡者【65歲(不含)以上】、身心障礙者、長期失業者、獨力負擔家計者、原住民、低收入戶或中低收入戶中有工作能力者、更生受保護人、家庭暴力及性侵害被害人、二度就業婦女、新住民。,,"
勾選
待業中or
已退休
+
符合以下之一 
1. 中高齡+失業週期30(含)以上

2. 高齡+失業週期30(含)以上

3  就服法24-1者+失業週期30(含)以上

4. 性侵害被害人+失業週期30(含)以上

5. 新住民+失業週期30(含)以上

6.失業週期90(含)以上之全部勞工

顯示
",中高齡者（45-65）、身心障礙者、長期失業者、獨力負擔家計者、原住民、低收入戶或中低收入戶中有工作能力者、更生受保護人、家庭暴力及性侵害被害人、二度就業婦女、新住民。,30,一般失業者,90,雇主和勞工都放
Plan11,諮詢服務及給付科,青年職得好評計畫,協助失業青年釐清職涯發展方向、提升求職技巧，並運用工作卡(職涯履歷表)展現個人就業優勢，以解決青年尋職困難問題。,待業中,不限,"少年
青年",,180 (符合年齡),年滿15歲至29歲之本國籍青年，未就學、未就業且失業期間連續達６個月以上者,,,"勾選
待業中
+
符合以下之一 
1.少年+失業週期180(含)以上
2.青年+失業週期180(含)以上
顯示

※15歲以上未滿18歲之未就學未就業少年刪除
建議設定條件為：年齡15-17、就業狀況待業中",,,年滿15歲至29歲之本國籍青年，未就學、未就業,180,"1、『15歲以上未滿18歲之未就學未就業少年』
2、『年滿18-29歲，未在學而有就業意願且初次尋職之本國籍青年』"
Plan12,諮詢服務及給付科,失業給付,為保障勞工於失業一定期間之基本生活,待業中,不限,不限,非自願離職者,"不限 (特殊身份別)
30 (無特殊身份別)","1.非自願離職者。     
2.定期契約屆滿離職，逾1個月未能就業，且離職前1年內，契
約期間合計滿6個月以上者。",非自願離職者,非自願離職者,"勾選
待業中
+
非自願離職者
顯示",定期契約屆滿離職,30,非自願離職者,,
Plan13,訓練推廣科及自辦訓練科,失業者職業訓練,為協助國內失業者能接受適性與適訓之職業訓練，取得就業技能與充分就業，本分署委託適格之訓練單位提供年滿15歲以上失業者適合參加之失業者職前訓練課程，使失業者習得就業技能，以充分就業。,待業中,不限,不限,,不限,"(一)以失業者為招生對象，在職勞工、自營作業者、公司或行(商)號負責人，不得報名參加職前訓練。
(二)以年滿15歲（含）以上、具工作意願且工作技能不足之失業者，並符合下列資格之一者：
1.具中華民國國籍。
2.新住民：(1)與在中華民國境內設有戶籍之國民結婚，且獲准在臺灣地 區居留之外國人、大陸地區人民、香港或澳門居民。(2)前目之外國人、大陸地區人民、香港或澳門居民，與其配 偶離婚或其配偶死亡，而依法規規定得在臺灣地區繼續居 留工作者。
3.經入出國及移民法第16條第3項或第4項規定許可其居留之下 列對象之一：(1)泰國、緬甸地區單一中華民國國籍之無戶籍國民。(2)泰國、緬甸、印度或尼泊爾地區無國籍人民，且已依就業 服務法第51條第1項第1款規定取得工作許可者。
4.跨國(境)人口販運被害人，並取得工作許可者。
5.因職業傷害或罹患職業疾病，經醫師診斷喪失部分工作能力， 其失能程度符合勞工保險失能給付標準第二等級至第十五等級 規定之項目，且未經雇主依就業服務法第56條第1項規定通知 連續曠職3日失去聯繫者。
",15歲以上失業勞工,E G欄已敘述 (故可刪除),"勾選
待業中 
皆顯示",,,15歲以上失業勞工,,
Plan14,就業促進科,缺工就業獎勵,鼓勵失業勞工受僱特定行業(即3K產業)從事工作，紓緩特定行業缺工情形。,"待業中
已退休",不限,不限,非自願離職者,"不限 (特殊身份別)
30 (無特殊身份別)","(一)勞工資格：
勞工資格符合下列情形之一的失業勞工： 　　　
1.失業期間達30日以上。
2.非自願離職。
3.經公立就業服務機構評估(含15-29歲之108學年度應屆畢業青年)。
(二)事業單位適用範圍：　　
1.符合外國人從事就業服務法第46條第1項第8款至第11款工作資格及審查標準所定特定製程行業或特殊時程行業(即3K產業)之事業單位，且具有經濟部工業局或自由貿易港區管理機關核發特定製程或特殊時程之行業證明文件。
2.求才薪資達就業服務法第47條規定公告之合理勞動條件薪資基準。",非自願離職。,非自願離職者,"勾選
待業中or
已退休
+
符合以下之一 
1.非自願離職者
2.失業週期30(含)以上之全部勞工
顯示

※經公立就業服務機構評估無法系統區分",,,一般失業者,30,
