計畫名稱,所屬科室,計畫別,目的,適用年齡,適用對象,對象條件,申請資格/條件,是否為就業保險投保單位,是否為人力派遣公司,用人單位類別,核薪方式,怡含建議條件式,怡含註明,給付標準,給付期限,應備文件,特殊關鍵字,申請方式,,,
Plan1,銀髮人才資源中心,繼續僱用高齡者補助計畫,鼓勵雇主持續僱用屆齡65歲在職勞工，延緩其退休時間，協助其續留職場，穩定就業。,屆齡65歲,民間團體,"一、具就業保險投保單位之民營事業單位、
二、民間團體(不含政治團體及政黨)或
三、私立學校。","(1)繼續僱用之65歲員工人數，達其公司申請下一年度僱用65歲員工總人數之30% (計算期間為下一年度1月1日至12月31日間)。
(2)繼續僱用期間達6個月以上。
(3)繼續僱用期間之薪資不低於原有薪資。（申請前3個月平均薪資）",是,不限,"1.民營事業單位
2.民間團體：依人民團體法或其他法令設立之團體(不含政治團體及政黨)。
3.私立學校",不限,"勾選
為就業保險投保單位
+
『繼續僱用』
顯示","1、無。

2、無。

3、雇主：(1)是否為就業保險投保單位勾選是及(2)是否為人力派遣公司勾選否及(3)用人單位類別勾選民營事業單位、或民間團體：依人民團體法或其他法令設立之團體(不含政治團體及政黨)、或私立學校、或合法登記或立案之非營利組織及學術研究機構。(4)核薪方式勾選月薪依學經歷、證照核薪（每月經常性薪資達4萬元以上）","從第1~6個月一次核發，
按月計酬每人每月補助1萬3千元，部分工時每小時70元。
第7~18個為按季核發，
按月計酬每人每月補助1萬5千元，部分工時每小時80元。",,"一、申請書及繼續僱用計畫書。
二、依法設立登記之證明文件影本。
三、最近1個月勞工保險及勞工職業災害保險投保人數或其他足資證明加保之證明文件。
四、繼續僱用者最近3個月之薪資及出勤證明文件。
五、其他經中央主管機關規定之文件、資料。",繼續僱用、僱用屆齡65歲員工、中高齡在職、透過獎補助熟齡族安心就業,各分署在地服務窗口收件,,,
Plan2,銀髮人才資源中心,僱用退休高齡者傳承專業技術及經驗補助計畫,為支持退休後中高齡者及高齡者重返職場，鼓勵雇主僱用依法退休之中高齡者及高齡者傳承其專業技術及經驗，協助企業永續經營發展。,45歲以上,民間團體,"45歲以上中高齡者或65歲以上高齡者
且依法退休員工","1.就業保險投保單位之民營事業單位。
2.依人民團體法或其他法令設立之團體(不含政治團體及政黨)。
3.私立學校。",是,不限,"1.民營事業單位
2.民間團體：依人民團體法或其他法令設立之團體(不含政治團體及政黨)。
3.私立學校","1.民營事業單位
2.民間團體：依人民團體法或其他法令設立之團體(不含政治團體及政黨)。
3.私立學校","勾選
為就業保險投保單位
+
『世代合作』
顯示","1、無。

2、無。

3、雇主：(1)是否為就業保險投保單位勾選是及(2)是否為人力派遣公司勾選否及(3)用人單位類別勾選民營事業單位、或民間團體：依人民團體法或其他法令設立之團體(不含政治團體及政黨)、或私立學校、或合法登記或立案之非營利組織及學術研究機構。(4)核薪方式勾選月薪依學經歷、證照核薪（每月經常性薪資達4萬元以上）","【補助項目】
1.內聘講師鐘點費：雇主支付所僱用傳承專業技術及經驗之中高齡者及高齡員工講師費，每小時最高補助新臺幣1,000元。
2.非自有場地費：以雇主自有場地辦理為原則，有必要於非自有場地辦理者，場地費依實際課程時數計算，每日以8小時為限。
3.場地公共意外險：於非自有場地辦理者，應於辦理期間投保。
4.其他有必要編列之項目費用。
【補助額度】
1.每位受僱用之中高齡者及高齡者每年最高補助雇主新臺幣10萬元。
2.每位雇主每年最高補助新臺幣50萬元。",,"一、申請書。
二、計畫書。
三、課程規劃表。
四、經費概算表。
五、依法設立登記之證明文件影本。
六、講師為已退休高齡者及高齡者證明文件影本。
七、講師具專業技術及經驗證明文件影本。 
八、僱用證明文件影本。",傳承技術及經驗、退休者再就業、中高齡者退休再就業、退休壯世代經驗傳承,各分署在地服務窗口收件,,,
Plan3,銀髮人才資源中心,中高齡者退休後再就業準備協助措施補助計畫,為促使雇主針對屆齡退休(64歲)前之中高齡者，提供退休準備、調適及再就業之相關協助措施，並辦理勞工退休後再就業之職涯發展、就業諮詢、創業諮詢及職業訓練等。,64歲,民間團體,諮詢期間可為員工滿64歲之後,"1.就業保險投保單位之民營事業單位。
2.依人民團體法或其他法令設立之團體(不含政治團體及政黨)。
3.私立學校。",是,不限,"1.民營事業單位
2.民間團體：依人民團體法或其他法令設立之團體(不含政治團體及政黨)。
3.私立學校",不限,"勾選
為就業保險投保單位
+
『繼續僱用』
顯示","1、無。

2、無。

3、雇主：(1)是否為就業保險投保單位勾選是及(2)是否為人力派遣公司勾選否及(3)用人單位類別勾選民營事業單位、或民間團體：依人民團體法或其他法令設立之團體(不含政治團體及政黨)、或私立學校、或合法登記或立案之非營利組織及學術研究機構。(4)核薪方式勾選月薪依學經歷、證照核薪（每月經常性薪資達4萬元以上）","【補助措施及額度】
辦理勞工退休後再就業之「職涯發展」、「就業諮詢」及「創業諮詢」。
【補助額度】
每一雇主每年度與「中高齡者退休後再就業準備訓練補助實施計畫」合計最高補助新臺幣50萬元。",,"一、申請書、
二、計畫書、
三、經費概算表、
四、依法設立登記之證明文件影本。
五、申請聯合辦理需多檢附：聯合辦理單位授權書及基本資料表。",退休準備及調適、退休後再就業準備、退休協助,各分署在地服務窗口收件,,,
Plan4,產學培力中心,青年就業旗艦計畫,針對15至29歲缺乏工作經驗或專業技能之青年，結合產業資源，由訓練單位依據用人需求，辦理先僱後訓的「工作崗位訓練」，提供青年務實致用之職業訓練，同時提升事業單位僱用青年之意願。,,民間團體,,"為就業保險投保單位並具備下列資格之一者，可提出申請：
民營事業單位。
民間團體：指依人民團體法或其他法令取得設立許可者。但不包括政治團體及政黨。
公私立高中(職)或大專校院。",是,否,"1.民營事業單位
2.民間團體：依人民團體法或其他法令設立之團體(不含政治團體及政黨)。
3.公私立高中(職)或大專校院",月薪,"勾選
為就業保險投保單位
+
『職業訓練-在職訓練』
顯示","1、無。

2、無。

3、雇主：(1)是否為就業保險投保單位勾選是及(2)是否為人力派遣公司勾選否及(3)用人單位類別勾選民營事業單位民間團體：依人民團體法或其他法令設立之團體(不含政治團體及政黨)。(4)核薪方式勾選月薪依學經歷、證照核薪（每月經常性薪資達4萬元以上）","""(一)、補助額度：前3個月補助訓練單位每人每月以新臺幣1萬2千元為上限；第4個月起至第6個月每人每月以新臺幣6千元為上限。

(二)、計算方式：

每月給付學員薪資未達新臺幣3萬4千元者，訓練期間以3個月為限，補助最高3萬6千元。
每月給付學員薪資達新臺幣3萬4千元以上者，訓練期間以6個月為限，補助最高5萬4千元。""",,"1.申請表件檢核表
2.申請表
3.訓練單位之合法登記證明文件影本
4.辦理工作崗位訓練之訓練單位其勞工保險、就業保險或勞工職
業災害保險投保月底生效人數或其他足資證明加保之文件。
5.職場導師資格證明文件。
同一訓練向二個以上補助機關提出申請補助，應列明全部經費
內容及向各機關申請補助之項目及金額。",職業訓練,本計畫全年度開放受理，訓練單位應向所在地之勞動力發展署所屬分署提出各項訓練計畫之申請，於青年職業訓練資訊管理系統建立帳號，並依所申請的帳號進入前開系統填寫訓練計畫，當年度預算用罄即不再受理。(青年就業旗艦計畫須由事業單位自行向勞動部勞動力發展署所屬分署提出申請，勞動部勞動力發展署未委託任何單位協助辦理。),,,
Plan5,特定對象及學員輔導科,婦女再就業計畫(2023-2026)-雇主工時調整獎勵,為促進婦女再就業，配合國內疫後缺工各項措施，運用自主訓練獎勵、再就業獎勵及雇主工時調整獎勵等措施，提升勞動力參與率，並紓緩國內缺工情形，補充人力供給。,,民間團體,為就業保險投保單位之民營事業單位、團體或私立學校，並向公立就業服務機構辦理求才登記者,"雇主僱用領有推介卡之婦女，且提供工時調整之職缺，並符合下列規定之一，得請領工時調整獎勵：
(一)以按月計酬全時工作僱用：僱用期間連續滿30日，且工資不低於本部公告之每月基本工資。
(二)以前款以外方式之部分工時工作僱用：僱用期間滿30日，且時薪不得低於本部公告之每小時基本工資；每月領取工資合計應達本部公告之每月基本工資二分之一以上。
前項雇主應為所僱用之婦女，依法投保勞工保險、就業保險及勞工職業災害保險。",是,不限,"1.民營事業單位
2.民間團體：依人民團體法或其他法令設立之團體(不含政治團體及政黨)。
3.私立學校",不限,"勾選
為就業保險投保單位
+
『穩定就業』
顯示","1、無。

2、無。

3、雇主：(1)是否為就業保險投保單位勾選是及(2)是否為人力派遣公司勾選否及(3)用人單位類別勾選民營事業單位、或民間團體：依人民團體法或其他法令設立之團體(不含政治團體及政黨)、或私立學校。(4)核薪方式勾選月薪、或时薪、或日薪、或論件計酬 依學經歷、證照核薪（每月經常性薪資達4萬元以上）。",每職缺每次3000元，最長核發12個月,僱用期間滿30日之次日起90日內，或於婦女離職退保之次日起90日內，向原推介轄區之公立就業服務機構申請雇主工時調整獎勵,"(一)雇主工時調整職缺申請書及領取收據。
(二)僱用名冊、受僱者之工資清冊、出勤紀錄。
(三)請領雇主工時調整獎勵之勞工保險、就業保險及勞工職業災害保險加保申報表或其他足資證明投保之文件。
(四)其他經發展署規定之文件。",雇主工時調整獎勵,向公立就業服務機構提出,,,
Plan6,諮詢服務及給付科,職場學習及再適應計畫,為協助特定對象等就業弱勢者就業準備及就業適應，透過事業單位或團體，提供職場學習及再適應之機會，使其重返職場。,不限,民間團體,"1.符合就業服務法第24條第1項所列各款之特定對象
2.用人單位：
(1)民間團體：指依人民團體法或其他法令取得設立許可者，但不包括政治團體。
(2)事業單位：指合法登記或立案之民營事業單位、公營事業機構、非營利組織及學術研究機構。","一、職缺計畫申請：
(一)用人單位補助人數，以申請日前最近1個月之勞工保險投保人數之百分之30為限（不足一人者以一人計）。但用人單位員工數為10人以下者，最多得補助3人。
(二)同一用人單位於各年度最高補助人數不得超過10人。
二、個案職場學習及再適應津貼及用人單位行政管理及輔導費：
(一)個案職場學習及再適應津貼：按中央主管機關公告之每小時基本工資核給，且不超過每月基本工資。
(二)用人單位行政管理及輔導費：以實際核發職場學習及再適應津貼金額之30%核給",是,否,"1.民營事業單位
2.民間團體：依人民團體法或其他法令設立之團體(不含政治團體及政黨)。
3.私立學校
4.公營事業機構
5.合法登記或立案之非營利組織及學術研究機構。",不限,"勾選
為就業保險投保單位
+
『新僱用』
顯示","1、無。

2、無。

3、雇主：(1)是否為就業保險投保單位勾選是及(2)是否為人力派遣公司勾選否及(3)用人單位類別勾選民營事業單位、或民間團體：依人民團體法或其他法令設立之團體(不含政治團體及政黨)、或私立學校、或公營事業機構、或合法登記或立案之非營利組織及學術研究機構。(4)核薪方式勾選时薪。","一、個案職場學習及再適應津貼：按中央主管機關公告之每小時
基本工資核給，且不超過每月基本工資。
二、用人單位行政管理及輔導費：以實際核發職場學習及再適應
津貼金額之30%核給。
前項補助期間，每次最長以3個月為限。但屬高齡者、身心障礙者、更生受保護人、15歲以上未滿18歲之未就學未就業少年及施用毒品者，經執行單位評估同意後得延長至6個月。","補助個案之職場學習及再適應津貼，由用人單位按月先行支付，
用人單位於計畫執行完畢或經終止後60日內提出申請。","一、職缺計畫申請：
(一)職場學習及再適應申請書
(二)依法設立、登記或立案之證明文件影本
(三)申請日前最近一個月之勞工保險投保人數，非強制投保之用人單位需提出足以證明員工數之文件
(四)已依身心障礙者權益保障法及原住民族工作權保障法規定，足額進用身心障礙者及原住民或繳納差額補助費、代金之文件。
(五)其他經本署規定之文件、資料。
二、個案職場學習及再適應津貼及用人單位行政管理及輔導費：
(一)本計畫核准函影本
(二)領據
(三)個案職場學習及再適應津貼與行政管理及輔導費之印領清冊
(四)用人單位工作輔導紀錄
(五)參加計畫個案之簽到表或足以證明參加計畫之出勤文件影本
(六)參加計畫個案之勞工保險投保資料（含加保證明文件，例如勞保卡或加保人員名冊），或其他投保資料（例職業災害保險或意外險）影本",職學計畫,向原推介公立就業服務機構申請,,,
Plan7,諮詢服務及給付科,僱用獎助(含失業中高齡者及高齡者僱用獎助),為鼓勵雇主優先僱用弱勢失業勞工，雇主僱用經公立就業服務機構就業諮詢評估需運用僱用獎助措施之弱勢就業者，將依規定給與雇主僱用獎助，以期協助弱勢失業勞工返回勞動市場。,不限,民間團體,"1.失業期間連續達30日以上之特定對象
2.失業期間連續達3個月以上之一般失業者。
","一、雇主於連續僱用同一受領僱用獎助推介卡之勞工滿30日之日起90日內，得向原推介轄區之公立就業服務機構提出第1次獎助申請。又為簡化申請程序，雇主後續僱用每滿3個月之日起90日內提出獎助申請。如遞延申請，請檢附相關說明。
二、請領期間自勞工到職投保就業保險生效之日起算，一個月以30日計算，其末月僱用時間逾20日(第21天以後離職)而未滿30日者，以一個月計算。
",是,否,"1.民營事業單位
2.民間團體：依人民團體法或其他法令設立之團體(不含政治團體及政黨)。
3.私立學校",不限,"勾選
為就業保險投保單位
+
『新僱用』
顯示","1、無。

2、無。

3、雇主：(1)是否為就業保險投保單位勾選是及(2)是否為人力派遣公司勾選否及(3)用人單位類別勾選民營事業單位、或民間團體：依人民團體法或其他法令設立之團體(不含政治團體及政黨)、或私立學校。(4)核薪方式勾選月薪、或时薪、或日薪、或論件計酬 依學經歷、證照核薪（每月經常性薪資達4萬元以上）。","一、失業期間連續達30日以上之高齡者：
(一)月薪制：每月15,000元
(二)時薪制：80元/時
二、失業期間連續達30日以上之年滿45歲至65歲失業者、身心障礙者、長期失業者：
(一)月薪制：每月13,000元
(二)時薪制：70元/時
三、失業期間連續達30日以上之獨力負擔家計者、原住民、低收入戶或中低收入戶中有工作能力者、更生受保護人、家庭暴力及性侵害被害人、二度就業婦女、新住民：
(1)月薪制：每月11,000元
(2)時薪制：60元/時
4.失業期間連續達3個月以上之一般失業者：
(1)月薪制：每月9,000元
(2)時薪制：50元/時",每位受僱於同一雇主之勞工，最長獎助12個月,"一、僱用獎助申請書
二、營利事業登記證或經濟部核准函
三、僱用獎助僱用名冊及薪資印領清冊
四、僱用獎助領據
五、身分證影本/有效期限內居留證影本
六、勞工保險被保險人投保資料表(或其他加保證明)
七、員工出勤資料
八、員工薪資明細
九、投保單位勞保投保人數佐證資料(投保人數67人以上，由雇主或就業中心按月檢附本項資料)
十、留用情形回報名冊(本項可由就業中心提供)
",僱用獎助,向原推介公立就業服務機構申請,,,
Plan10,諮詢服務及給付科,僱用獎助(含失業中高齡者及高齡者僱用獎助),為鼓勵雇主優先僱用弱勢失業勞工，雇主僱用經公立就業服務機構就業諮詢評估需運用僱用獎助措施之弱勢就業者，將依規定給與雇主僱用獎助，以期協助弱勢失業勞工返回勞動市場。,待業中,,中高齡,,"就業服務法第24條第1項各款失業者
(只要特殊身份別 != 無)","30 (年齡或特殊身份別符合)
90 (無年齡及特殊身份別)",,,,,,,雇主,,,,,
Plan14,就業促進科,缺工就業獎勵,鼓勵失業勞工受僱特定行業(即3K產業)從事工作，紓緩特定行業缺工情形。,"待業中
已退休",,不限,,非自願離職者,"不限 (特殊身份別)
30 (無特殊身份別)",非自願離職。,,非自願離職者,,一般失業者,30,,,,,,
Plan15,就業促進科,照顧服務就業獎勵,為協助失業勞工就業及充實照顧服務人力，鼓勵失業勞工投入居家式、社區式及照顧機構等長照單位從事照顧服務工作。 ,"待業中
已退休",,不限,,非自願離職者,"不限 (特殊身份別)
30 (無特殊身份別)",非自願離職。,,非自願離職者,,一般失業者,30,,,,,,
